census_tract,total_applications,approvals,approval_rate,denial_rate
24033802502,31,23,0.7419354838709677,0.25806451612903225
24033802600,34,29,0.8529411764705882,0.1470588235294118
24033802700,46,42,0.9130434782608695,0.08695652173913049
24033802803,83,69,0.8313253012048193,0.1686746987951807
24033802804,61,53,0.8688524590163934,0.1311475409836066
24033802805,86,73,0.8488372093023255,0.15116279069767447
24033802901,33,30,0.9090909090909091,0.09090909090909094
24033803001,48,39,0.8125,0.1875
24033803002,47,35,0.7446808510638298,0.25531914893617025
24033803100,34,30,0.8823529411764706,0.11764705882352944
24033803200,17,17,1.0,0.0
24033803300,65,52,0.8,0.19999999999999996
24033803403,90,72,0.8,0.19999999999999996
24033803508,22,19,0.8636363636363636,0.13636363636363635
24033803509,24,17,0.7083333333333334,0.29166666666666663
24033803512,61,50,0.819672131147541,0.180327868852459
24033803513,76,69,0.9078947368421053,0.09210526315789469
24033803514,72,60,0.8333333333333334,0.16666666666666663
24033803516,57,52,0.9122807017543859,0.08771929824561409
24033803519,45,41,0.9111111111111111,0.0888888888888889
24033803520,53,46,0.8679245283018868,0.13207547169811318
24033803521,91,80,0.8791208791208791,0.1208791208791209
24033803524,34,29,0.8529411764705882,0.1470588235294118
24033803525,3,3,1.0,0.0
24033803526,51,41,0.803921568627451,0.196078431372549
24033803527,39,34,0.8717948717948718,0.1282051282051282
24033803528,78,65,0.8333333333333334,0.16666666666666663
24033803601,40,30,0.75,0.25
24033803602,13,11,0.8461538461538461,0.15384615384615385
24033803605,66,54,0.8181818181818182,0.18181818181818177
24033803606,60,50,0.8333333333333334,0.16666666666666663
24033803607,51,46,0.9019607843137255,0.0980392156862745
24033803608,58,54,0.9310344827586207,0.06896551724137934
24033803610,21,19,0.9047619047619048,0.09523809523809523
24033803612,17,15,0.8823529411764706,0.11764705882352944
24033803613,46,39,0.8478260869565217,0.15217391304347827
24033803700,22,21,0.9545454545454546,0.045454545454545414
24033803801,11,10,0.9090909090909091,0.09090909090909094
24033803803,44,35,0.7954545454545454,0.20454545454545459
24033803900,11,10,0.9090909090909091,0.09090909090909094
24033804001,14,10,0.7142857142857143,0.2857142857142857
24033804002,27,14,0.5185185185185185,0.4814814814814815
24033804101,24,20,0.8333333333333334,0.16666666666666663
24033804102,30,20,0.6666666666666666,0.33333333333333337
24033804200,50,47,0.94,0.06000000000000005
24033804300,15,12,0.8,0.19999999999999996
24033804400,20,17,0.85,0.15000000000000002
24033804600,36,32,0.8888888888888888,0.11111111111111116
